,Cokolada,TK,LS,MT,KF,MM,ToKo,JDZ,JDH,LuS,PK,KA
1,Kaffeesplitter,2,4,3,1,3,8,1,2,,5,2
2,Schoko-Brownie,4,5,3,2,3,4,4,4,7,4,3
3,Karamell-mousse,3,3,6,4,2,2,3,3,,2,3
4,Alpenmilch,3,3,4,3,3,3,5,4,1,3,3
5,Edel-Bitter,2,3,2,2,4,2,1,1,8,2,2
6,Edel-Vollmilch,3,3,3,3,3,2,4,3,3,2,3
7,Erdbeer-Joghurt,3,6,3,8,2,4,6,7,,6,4
8,Halb-Bitter,5,3,2,5,3,4,3,1,,2,3
9,Kakao-mousse,2,2,3,2,3,4,5,4,2,4,4
10,Knusperkeks,3,3,3,3,2,3,5,3,6,2,3
11,Nuss-Splitter,3,3,3,3,2,4,3,3,3,2,2
12,Pfefferminz,2,6,5,3,2,3,2,6,,5,2
13,Keks+Nuss,3,2,4,2,4,3,4,5,2,4,2
14,Joghurt,2,2,5,7,4,4,8,6,8,3,6
15,White Hazelnut,5,2,4,6,2,3,4,4,5,2,6
16,Kokos,2,2,3,3,2,2,2,5,1,2,1
17,Marzipan,1,2,1,1,1,2,2,6,5,4,2
18,Nugat,1,1,2,2,1,3,2,3,1,1,3
19,Rum Trauben Nuss,2,4,3,2,2,2,5,3,7,,5
20,Trauben Nuss,3,5,3,3,3,2,5,3,1,1,5
21,Weiss + Crisp,5,6,4,7,4,4,8,5,8,2,7
22,Cranberry Nuss,3,4,,4,1,4,4,3,2,4,3
23,Goldschatz,2,2,3,2,2,1,4,3,1,,2
24,Voll-Nuss,2,2,3,3,2,3,3,2,2,3,3
25,Weisse Voll-Nuss,5,3,3,5,3,5,6,1,4,2,4
26,Weisse Mandel,4,4,8,3,3,7,3,2,3,,3
27,Honig-Salz-Mandel,4,3,3,3,2,3,5,2,2,2,2
28,Ganze Mandel,3,1,1,1,3,2,2,3,2,3,3
29,Knusperflakes,3,3,3,3,4,2,5,3,3,1,4
30,Himmlische Beere,3,4,3,5,3,3,6,6,5,7,3
31,Spekulatius,2,4,4,3,1,4,3,4,3,,4
32,Zitronen + Waffel,2,5,3,5,5,3,7,4,3,6,6
33,Macadamia,4,3,3,3,2,3,4,4,4,2,3
34,Dunkle Voll-Nuss Amaranth,2,2,4,1,5,3,2,1,6,3,2
35,Dunkle Mandel Quinoa,2,2,4,2,5,6,5,3,4,2,2
36,Karamellsplitter,7,6,6,6,1,6,5,4,8,2,5
37,Macadamia Bio,3,2,6,2,3,3,6,2,5,2,2
38,Mandelsplitter,3,1,4,1,2,3,2,2,2,2,3
39,Trauben Cashew,3,5,4,6,3,5,,,3,,5
40,Vollmilch,3,3,4,4,3,4,,5,5,,4
41,Johannisbeer Streusel,2,2,3,4,5,2,5,6,2,5,6
42,Eiskakao-Creme,2,3,3,2,2,2,3,3,2,5,4
43,Buttermilch Zitrone,4,5,4,6,6,1,7,6,2,4,6
128,Dunkle Voll-Nuss,2,3,2,4,2,2,2,1,,2,2
44,Honig Crisp,2,1,3,6,4,3,2,6,,2,5
45,Espresso,4,5,3,1,2,7,2,3,6,5,4
